,event,date,location,event_url
137,UFC Fight Night: Emmett vs. Stephens," February 24, 2018"," Orlando, Florida, US",http://ufcstats.com/event-details/daa89f01e1c0f42a
138,UFC Fight Night: Cerrone vs. Medeiros," February 18, 2018"," Austin, Texas, US",http://ufcstats.com/event-details/d181689653115b6a
139,UFC 221: Romero vs. Rockhold," February 10, 2018"," Perth, Western Australia, Australia",http://ufcstats.com/event-details/15515e797aedc137
140,UFC Fight Night: Machida vs. Anders," February 03, 2018"," Belem, Para, Brazil",http://ufcstats.com/event-details/7cf20446453f852b
141,UFC Fight Night: Jacare vs. Brunson 2," January 27, 2018"," Charlotte, North Carolina, US",http://ufcstats.com/event-details/602bb270f2bdbf02
142,UFC 220: Miocic vs. Ngannou," January 20, 2018"," Boston, Massachusetts, US",http://ufcstats.com/event-details/02177caefe7c07d4
143,UFC Fight Night: Stephens vs. Choi," January 14, 2018"," St. Louis, Missouri, US",http://ufcstats.com/event-details/fc1868f56d3036eb
144,UFC 219: Cyborg vs. Holm," December 30, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/04076783ca83d6ae
145,UFC Fight Night: Lawler vs. Dos Anjos," December 16, 2017"," Winnipeg, Manitoba, Canada",http://ufcstats.com/event-details/eaa0a728cc91ef60
146,UFC Fight Night: Swanson vs. Ortega," December 09, 2017"," Fresno, California, US",http://ufcstats.com/event-details/bcd124bcd3d5be46
147,UFC 218: Holloway vs. Aldo 2," December 02, 2017"," Detroit, Michigan, US",http://ufcstats.com/event-details/9e30f69cc0869301
148,The Ultimate Fighter: A New World Champion Finale," December 01, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/30e8b4505f5ccf92
149,UFC Fight Night: Bisping vs. Gastelum," November 25, 2017"," Shanghai, Hebei, China",http://ufcstats.com/event-details/e7bc606d269896aa
150,UFC Fight Night: Werdum vs. Tybura," November 18, 2017"," Sydney, New South Wales, Australia",http://ufcstats.com/event-details/caced97768818230
151,UFC Fight Night: Poirier vs. Pettis," November 11, 2017"," Norfolk, Virginia, US",http://ufcstats.com/event-details/d856a0080ac09ed7
152,UFC 217: Bisping vs. St-Pierre," November 04, 2017"," New York City, New York, US",http://ufcstats.com/event-details/a25b71fe5e31fa97
153,UFC Fight Night: Brunson vs. Machida," October 28, 2017"," Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/a7724f51e32e763e
154,UFC Fight Night: Cerrone vs. Till," October 21, 2017"," Gdansk, Poland",http://ufcstats.com/event-details/d6b68eaf4b68b160
155,UFC 216: Ferguson vs. Lee," October 07, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/cc5834a495d1ea08
156,UFC Fight Night: Saint Preux vs. Okami," September 22, 2017"," Saitama, Saitama, Japan",http://ufcstats.com/event-details/9211aae062b799d6
157,UFC Fight Night: Rockhold vs. Branch," September 16, 2017"," Pittsburgh, Pennsylvania, US",http://ufcstats.com/event-details/1979c80150f630c4
158,UFC 215: Nunes vs Shevchenko 2," September 09, 2017"," Edmonton, Alberta, Canada",http://ufcstats.com/event-details/d86e913c548c07c2
159,UFC Fight Night: Volkov vs. Struve," September 02, 2017"," Rotterdam, Zuid-Holland, Netherlands",http://ufcstats.com/event-details/a3244e3238541482
160,UFC Fight Night: Pettis vs. Moreno," August 05, 2017"," Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/f4a031ac205ac580
161,UFC 214: Cormier vs. Jones 2," July 29, 2017"," Anaheim, California, US",http://ufcstats.com/event-details/ff9578cdbfabd323
162,UFC Fight Night: Weidman vs. Gastelum," July 22, 2017"," Uniondale, New York, US",http://ufcstats.com/event-details/9f3d6ddef3d3cccc
163,UFC Fight Night: Nelson vs. Ponzinibbio," July 16, 2017"," Glasgow, Scotland, United Kingdom",http://ufcstats.com/event-details/d7907a9a968e4d29
164,UFC 213: Romero vs. Whittaker," July 08, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/686cccbf1a4de453
165,The Ultimate Fighter: Redemption Finale," July 07, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/23bd78c3f89bdb54
166,UFC Fight Night: Chiesa vs. Lee," June 25, 2017"," Oklahoma City, Oklahoma, US",http://ufcstats.com/event-details/99bf06f20491cb54
167,UFC Fight Night: Holm vs. Correia," June 17, 2017"," Kallang, Singapore",http://ufcstats.com/event-details/353de740bb6c7e75
168,UFC Fight Night: Lewis vs. Hunt," June 10, 2017"," Auckland, New Zealand",http://ufcstats.com/event-details/90e7447d8b7f3f35
169,UFC 212: Aldo vs. Holloway," June 03, 2017"," Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/1507214bbc7a79e2
170,UFC Fight Night: Gustafsson vs. Teixeira," May 28, 2017"," Stockholm, Sweden",http://ufcstats.com/event-details/1c7cce2f5c17160d
171,UFC 211: Miocic vs. Dos Santos," May 13, 2017"," Dallas, Texas, US",http://ufcstats.com/event-details/5df10509264586e5
172,UFC Fight Night: Swanson vs. Lobov," April 22, 2017"," Nashville, Tennessee, US",http://ufcstats.com/event-details/bc7f7f0ba3db74d2
173,UFC on FOX: Johnson vs. Reis," April 15, 2017"," Kansas City, Missouri, US",http://ufcstats.com/event-details/ed069a95aaaf4f56
174,UFC 210: Cormier vs. Johnson 2," April 08, 2017"," Buffalo, New York, US",http://ufcstats.com/event-details/e7bfdb5e0112891e
175,UFC Fight Night: Manuwa vs. Anderson," March 18, 2017"," London, England, United Kingdom",http://ufcstats.com/event-details/c0231720fe516994
176,UFC Fight Night: Belfort vs. Gastelum," March 11, 2017"," Fortaleza, Ceara, Brazil",http://ufcstats.com/event-details/47b7e4e60813b7b2
177,UFC 209: Woodley vs. Thompson 2," March 04, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/20e403a1acfef130
178,UFC Fight Night: Lewis vs. Browne," February 19, 2017"," Halifax, Nova Scotia, Canada",http://ufcstats.com/event-details/b4ad3a06ee4d660c
179,UFC 208: Holm vs. De Randamie," February 11, 2017"," Brooklyn, New York, US",http://ufcstats.com/event-details/865aa315ea62c511
180,UFC Fight Night: Bermudez vs. The Korean Zombie," February 04, 2017"," Houston, Texas, US",http://ufcstats.com/event-details/6a8a06b542e1516d
181,UFC on FOX: Shevchenko vs. Pena," January 28, 2017"," Denver, Colorado, US",http://ufcstats.com/event-details/4512e46543b960ad
182,UFC Fight Night: Rodriguez vs. Penn," January 15, 2017"," Phoenix, Arizona, US",http://ufcstats.com/event-details/46effbd1135423c5
183,UFC 207: Nunes vs. Rousey," December 30, 2016"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/4b2390cfaceb91d8
184,UFC on FOX: VanZant vs. Waterson," December 17, 2016"," Sacramento, California, US",http://ufcstats.com/event-details/32541eb5d12668b4
185,UFC 206: Holloway vs. Pettis," December 10, 2016"," Toronto, Ontario, Canada",http://ufcstats.com/event-details/6e3282d57d2467a0
186,UFC Fight Night: Lewis vs. Abdurakhimov," December 09, 2016"," Albany, New York, US",http://ufcstats.com/event-details/7139cd2ae4bf6a29
187,The Ultimate Fighter: Tournament of Champions Finale," December 03, 2016"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/bd4389b71fdc0ce2
188,UFC Fight Night: Whittaker vs. Brunson," November 26, 2016"," Melbourne, Victoria, Australia",http://ufcstats.com/event-details/73e09f837f3b5ecc
189,UFC Fight Night: Bader vs. Nogueira," November 19, 2016"," Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/5cde96e0a1a1fffe
190,UFC Fight Night: Mousasi vs. Hall 2," November 19, 2016"," Belfast, Northern Ireland, United Kingdom",http://ufcstats.com/event-details/6810d8d2dd557cf9
191,UFC 205: Alvarez vs McGregor," November 12, 2016"," New York City, New York, US",http://ufcstats.com/event-details/4956f60b7fa57c1a
192,UFC Fight Night: Dos Anjos vs. Ferguson," November 05, 2016"," Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/6083f497c22cc075
